"paper_title","author_name","is_first_author"
"Abstracts from the Spectra 2018 Symposium Part 2: Visualization","Christopher Fluke",False
"Abstracts from the Spectra 2018 Symposium Part 2: Visualization","James Josephides",False
"Abstracts from the Spectra 2018 Symposium Part 2: Visualization","Carolyn Lewens",False
"Abstracts from the Spectra 2018 Symposium Part 3: Nano-Optics","Elizabeth Day",True
"Abstracts from the Spectra 2018 Symposium Part 3: Nano-Optics","Deirdre Feeney",False
"Abstracts from the Spectra 2018 Symposium Part 3: Nano-Optics","Brian Harris",False
"Abstracts from the Spectra 2018 Symposium Part 3: Nano-Optics","Raewyn Turner",False
"Abstracts from the Spectra 2018 Symposium Part 3: Nano-Optics","Toni Fröhlich",False
"Abstracts from the Spectra 2018 Symposium Part 4: Interspecies","Dan Parker",False
"Abstracts from the Spectra 2018 Symposium Part 4: Interspecies","Lisa Chandler",False
"Abstracts from the Spectra 2018 Symposium Part 4: Interspecies","Donna Davis",False
"Abstracts from the Spectra 2018 Symposium Part 4: Interspecies","Stanislav Roudavski",False
"Abstracts from the Spectra 2018 Symposium Part 4: Interspecies","Cat Jones",True
"Abstracts from the Spectra 2018 Symposium Part 4: Interspecies","Jiann Hughes",False
"Abstracts from the Spectra 2018 Symposium Part 8: Submolecular","Paul Thomas",False
"Abstracts from the Spectra 2018 Symposium Part 8: Submolecular","Chris Henschke",False
"Abstracts from the Spectra 2018 Symposium Part 8: Submolecular","Andrea Rassell",True
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Deborah Lawler-Dormer",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Alex Lambert",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Toby Gifford",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Jon Cattapan",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Daniel Hoyer",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Sue Thornton",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Maria Bellesis",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","David Sequeira",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Gary P. Anderson",False
"Abstracts from the Spectra 2018 Symposium Part 9: Empathy","Paul Corballis",True
"Accessibility of Graphic Scores: Design and Evaluation of Tactile Supports for Blind People","Francesco Ardan Dal Rí",False
"Accessibility of Graphic Scores: Design and Evaluation of Tactile Supports for Blind People","Francesco Manenti",True
"Accessing and Displaying the Archive","Tabea Lurk",True
"Accessing and Displaying the Archive","Jürgen Enge",False
"Acid Love: Mines, Remediation and Ensembles of the Witwatersrand","Brian House",True
"Across the Nebraska Border and the virtual-material divide: contextualizing Shu Lea Cheang’s Brandon, 1994–1999","Jen Kennedy",True
"Act of Fiction: Simultaneously Experienced Multiple Perspectives of (Un)reality When Engaging with Narrative-Based Art","Joshua Sofaer",False
"Act of Fiction: Simultaneously Experienced Multiple Perspectives of (Un)reality When Engaging with Narrative-Based Art","Mikko Sams",False
"Act of Fiction: Simultaneously Experienced Multiple Perspectives of (Un)reality When Engaging with Narrative-Based Art","Einat Amir",True
"Acting-Centred Definitions of Vactors, Synthespians, and Digital Doubles","Jason Kennedy",True
"Adapting & Openness: Dynamics of Collaboration Interfaces for Heterogeneous Digital Orchestras","Florent Berthaut",True
"Adapting & Openness: Dynamics of Collaboration Interfaces for Heterogeneous Digital Orchestras","Luke Dahl",False
"Adaptive Affine Transformation: A Simple and Effective Operation for Spatial Misaligned Image Generation","Zhimeng Zhang",True
"Adaptive Affine Transformation: A Simple and Effective Operation for Spatial Misaligned Image Generation","Yu Ding",False
"Addressing Barriers for Entry and Operation of a Distributed Signal Mapping Framework","Marcelo M. Wanderley",False
"Addressing Barriers for Entry and Operation of a Distributed Signal Mapping Framework","Eduardo A. L. Meneses",False
"Addressing Barriers for Entry and Operation of a Distributed Signal Mapping Framework","Christian Frisson",False
"Addressing Barriers for Entry and Operation of a Distributed Signal Mapping Framework","Joseph Malloch",False
"Addressing Barriers for Entry and Operation of a Distributed Signal Mapping Framework","Brady Boettcher",True
"Advancing the Use of Games as a Model for Scientific Practice","Rejane Spitz",False
"Advancing the Use of Games as a Model for Scientific Practice","Francisco Queiroz",True
"Aeolis: A Virtual Instrument Producing Pitched Tones With Soundscape Timbres","Lior Arbel",True
"Aeon Performance System for Visual Music","Aleksandra Dulic",False
"Aeon Performance System for Visual Music","Miles Thorogood",True
"Aesthetic emotions in a mixed reality gastrosonic experience: an exploratory study","Bruno Mesz",True
