"author_name","university_name"
"James Little","Charles University"
"Milan Kroulík","Charles University in Prague"
"Danlin Huang","China Academy of Art"
"Jianan Johanna Liu","China Academy of Art"
"Zijin Li","China Conservatory of Music"
"Xin-Zhu Li","China University of Mining and Technology"
"Yuxin Zhang","Chinese Academy of Sciences"
"Teng Han","Chinese Academy of Sciences"
"Tianren Luo","Chinese Academy of Sciences"
"Changsheng Xu","Chinese Academy of Sciences"
"Feng Tian","Chinese Academy of Sciences"
"Weiming Dong","Chinese Academy of Sciences"
"Yang kyu Lim","Chung-Ang University"
"Jin Wan Park","Chung-Ang University"
"Young ho Kim","Chung-Ang University"
"Jennifer Lécuyer","Cirque du Soleil"
"Penousal Machado","CISUC"
"Carola Moujan","CITERES lab"
"Mariana Pérez-Bobadilla","City University of Hong Kong"
"Tomas Laurenzo","City University of Hong Kong"
"Benjamin Horn","City University of Hong Kong"
"Kyle Chung","City University of Hong Kong"
"Chanjun Mu","City University of Hong Kong"
"Harald Kraemer","City University of Hong Kong"
"Alvaro Cassinelli","City University of Hong Kong"
"Chang Liu","City University of Hong Kong"
"Gyung Jin Shin","City University of Hong Kong"
"Scott Hessels","City University of Hong Kong"
"Fabeha Monir","City University of Hong Kong"
"Tobias Klein","City University of Hong Kong"
"Hin Nam Fong","City University of Hong Kong"
"Hongbo Fu","City University of Hong Kong"
"Klein, T.","City University of Hong Kong"
"Shum, P. Y. S.","City University of Hong Kong"
"Olga Timurgalieva","City University of Hong Kong"
"RAY LC","City University of Hong Kong"
"Paulina Neisch","City University of Hong Kong"
"Kaiyu Cheng","City University of Hong Kong"
"Lisa SoYoung Park","City University of Hong Kong"
"Lui Lok Marco","City University of Hong Kong"
"Liu Chunxi Tracy","City University of Hong Kong"
"Luk Wai Lam Noah","City University of Hong Kong"
"Joanna Gwen Mansbridge","City University of Hong Kong"
"Carloalberto Treccani","City University of Hong Kong"
"Minka Stoyanova","City University of Hong Kong"
"Maurice Benayoun","City University of Hong Kong"
"Shao Liu","City University of New York"
"Jonah Brucker-Cohen","City University of New York"
"Jill Bargonetti","City University of New York"
"Sos S Agaian","City University of New York"
"Lev Manovich","City University of New York"
"Joseph Dunne-Howrie","City, University of London"
"Erik Nyström","City, University of London"
"Alex M. Lee","Clarkson University"
"Jan Searleman","Clarkson University"
"Rémi Ronfard","CNRS"
"Sorina-Silvia Cîrcu","CNRS-University of Montpellier LIRMM"
"Chu-Yin Chen","CNRS-University of Montpellier LIRMM"
"Claire Grant","CNWL NHS Foundation Trust"
"Daniel Buzzo","CODE University of Applied Sciences"
"Hannen Wolfe","Colby College"
"Hannah E. Wolfe","Colby College"
"Amanda Lilleston","Colby College"
"Gyunpyo Lee","College for Creative Studies"
"Predrag K Nikolić","College For Creative Studies"
"Bill Manaris","College of Charleston"
"Marian Mazzone","College of Charleston"
"Samantha Ramsden","College of Charleston"
"Anna Forgette","College of Charleston"
"Meghan Gillikin","College of Charleston"
"Radhika D Joshi","College of Engineering, Pune"
"Priti P Rege","College of Engineering, Pune"
"Manjeeta R Kale","College of Engineering, Pune"
"Brian Reffin Smith","Collège de ’Pataphysique, Paris"
"Jean-Philippe Côté","Collège Édouard-Montpetit"
"Amanda Lilleston","Colorado College"
"Visda Goudarzi","Columbia College Chicago"
"Lydia B Chilton","Columbia University"
"Taylor Brook","Columbia University"
"Savvas Dimitrios Petridis","Columbia University"
"Han Qiao","Columbia University"
"Brian Smith","Columbia University"
"Vivian Liu","Columbia University"
"Basel Hindi","Columbia University"
"Emily L. Spratt","Columbia University"
"Gaurav Jain","Columbia University"
"Jeanne Devautour Choi","Columbia University"
"Richard Lee","Columbia University"
"Satchel Peterson","Columbia University"
"Smaranda Muresan","Columbia University"
"Tuhin Chakrabarty","Columbia University"
"Andrea Gogova","Comenius University in Bratislava"
"Zihan Gao","Communication University of China"
"Li Wang","Communication University of China"
"Tianle Huang","Communication University of China"
"Xin Lyu","Communication University of China"
"Johannes Jaeger","Complexity Science Hub, Vienna"
"Raquel Caerols Mateo","Complutense University of Madrid"
"Dario Lanza","Complutense University of Madrid"
"Herbert González Zymla","Complutense University of Madrid"
"Santiago Morilla Chinchilla","Complutense University of Madrid"
"Ricardo Iglesias García","Complutense University of Madrid"
"Fernando Vilariño Freire","Computer Vision Center"
"Maurice Jones","Concordia University"
"Manuelle Freire","Concordia University"
"Brice Ammar-Khodja","Concordia University"
"Michael Iantorno","Concordia University"
"Meghan Moe Beitiks","Concordia University"
"David Howes","Concordia University"
"Samuel Thulin","Concordia University"
"Ceyda Yolgörmez","Concordia University"
"Luciano Frizzera","Concordia University"
"Serena Desaulniers","Concordia University"
"Gabriel Vigliensoni","Concordia University"
"Lucie Lederhendler","Concordia University"
